id_interno,codigo_autorizacion,descripcion,valor,categoria,desc_limpia
1,42868828,COMPRA TBK SPOTIFY PREMIUM,17.28,Ocio,compra tbk spotify premium
2,83197857,DEBITO SPOTIFY PREMIUM,9.78,Ocio,debito spotify premium
3,41227216,COMPRA TBK SODIMAC HOME,226.87,Vivienda,compra tbk sodimac home
4,83140807,TEF ENVIADA TIENDA ONLINE,28.07,Alimentación,tef enviada tienda online
5,31429110,ABONO PINTURAS SHERWIN,294.35,Vivienda,abono pinturas sherwin
6,55176955,TEF ENVIADA EXAMENES MED,24.31,Salud,tef enviada examenes med
7,91030736,CARGO TC EASY PORTAL,142.58,Vivienda,cargo tc easy portal
8,60806024,PAGO WEB MERCADO CENTRAL,9.33,Alimentación,pago web mercado central
9,19335534,PAGO WEB CONSULTA ESPECIALISTA,16.42,Salud,pago web consulta especialista
10,23556182,COMPRA TBK CARGA BIP WEB,25.91,Transporte,compra tbk carga bip web
11,38119557,TEF ENVIADA REPARACIONES HOGAR,284.56,Vivienda,tef enviada reparaciones hogar
12,95225343,DEBITO ENTRETENIMIENTO PLUS,14.41,Ocio,debito entretenimiento plus
13,46231783,TEF ENVIADA STEAM GAMES,59.42,Ocio,tef enviada steam games
14,17507864,TEF ENVIADA MERCADO CENTRAL,17.6,Ocio,tef enviada mercado central
15,38317637,PAGO AUTOMATICO PEDIDOSYA CL,55.22,Alimentación,pago automatico pedidosya cl
16,63100814,TEF ENVIADA PLATAFORMA APRENDIZAJE,133.86,Educación,tef enviada plataforma aprendizaje
17,43101783,TEF ENVIADA EVENTO DEPORTIVO,45.97,Ocio,tef enviada evento deportivo
18,88320463,DEBITO LIBRERIA UNIVERSITARIA,65.92,Educación,debito libreria universitaria
19,16323852,PAGO WEB UBER TRIP,52.36,Transporte,pago web uber trip
20,90048665,ABONO UBER TRIP,8.49,Transporte,abono uber trip
21,84252722,PAGO WEB PAGO CUOTAS,351.27,Vivienda,pago web pago cuotas
22,82070937,DEBITO DELIVERY COMIDA,46.3,Alimentación,debito delivery comida
23,68353204,CARGO TC BANCO DEL ESTADO,32.14,Servicios,cargo tc banco del estado
24,78139880,PAGO WEB PRONTO COPEC,55.19,Alimentación,pago web pronto copec
25,78137358,CARGO TC BANCO DEL ESTADO,95.26,Servicios,cargo tc banco del estado
26,81182864,ABONO AUTOPISTA CENTRAL,55.52,Transporte,abono autopista central
27,17774584,PAGO AUTOMATICO PLAtAFORMA APRENDIZAJE,43.72,Educación,pago automatico plataforma aprendizaje
28,19289546,COMPRA TBK COLEGIO MENSUALIDAD,146.92,Educación,compra tbk colegio mensualidad
29,83793389,TEF ENVIADA MATRICULA UNIV,33.12,Educación,tef enviada matricula univ
30,36998038,TEF ENVIADA PAGO CUOTAS,109.81,Educación,tef enviada pago cuotas
31,70597444,PAGO AUTOMATICO REPARACIONES HOGAR,92.35,Vivienda,pago automatico reparaciones hogar
32,94705205,CArGO Tc SHELL RUT4 5,8.24,Transporte,cargo tc shell rut 
33,79008866,ABONO JUMBO BILBAO,18.09,Alimentación,abono jumbo bilbao
34,86644106,TEF ENVIADA EVENTO DEPORTIVO,36.69,Ocio,tef enviada evento deportivo
35,22660194,ABONO ESTACIONAMIENTO,10.33,Transporte,abono estacionamiento
36,17270733,PAGO AUTOMATICO REPARACIONES HOGAR,285.68,Vivienda,pago automatico reparaciones hogar
37,55540424,COMPRA TBK SPOTIFY PREMIUM,49.03,Ocio,compra tbk spotify premium
38,70211891,TEF ENVIADA ALMACEN VECINAL,12.71,Alimentación,tef enviada almacen vecinal
39,20117988,PAGO AUTOMATICO CARGA BIP WEB,29.37,Transporte,pago automatico carga bip web
40,82556484,COMPRA TBK PAGO CUOTAS,127.04,Servicios,compra tbk pago cuotas
41,74606833,TEF ENVIADA ALMACEN VECINAL,16.76,Alimentación,tef enviada almacen vecinal
42,62401521,TEF ENVIADA SODIMAC HOME,142.82,Vivienda,tef enviada sodimac home
43,84593961,CARGO TC SERVICIOS GENERALES,102.66,Servicios,cargo tc servicios generales
